unit_id,method,label,area_m2,height_max_m,height_mean_m,canopy_cover,volume_m3,n_pixels,data_coverage,vari_mean,exg_mean,gli_mean,height_max_m_pct,height_mean_m_pct,volume_m3_pct,canopy_cover_pct,vari_mean_pct,exg_mean_pct,gli_mean_pct
c00172,watershed,172,5.717500000140281,1.6805920600891113,1.1714373731534387,1.0,6.647907092663546,2270,1.0,0.26858863722103254,0.33489971962434795,0.2270164165333485,50.308641975308646,50.308641975308646,72.8395061728395,83.48765432098766,42.901234567901234,51.23456790123457,51.54320987654321
c00173,watershed,173,5.049999999967985,1.6147419214248657,1.1979771932592567,0.9920713577799801,6.043794940009115,2018,1.0,0.2764068347147715,0.34189215636634723,0.23349422858122487,41.66666666666667,57.71604938271605,70.06172839506173,28.39506172839506,48.45679012345679,56.17283950617284,57.407407407407405
c00174,watershed,174,2.689375000106811,1.6370925903320312,1.0943833115040709,0.9990825688073395,2.98219452385657,1090,1.0,0.23766658917577957,0.26357806028653946,0.18186837373899967,45.67901234567901,34.25925925925926,38.88888888888889,60.49382716049383,21.91358024691358,12.037037037037036,12.345679012345679
c00175,watershed,175,1.6393749999423743,1.629614233970642,1.101224502738815,0.989329268292683,1.8060081844964875,656,1.0,0.29493932296461955,0.3688439711667902,0.25008078537179823,44.44444444444444,35.80246913580247,20.679012345679013,22.22222222222222,61.72839506172839,66.0493827160494,66.9753086419753
c00176,watershed,176,1.745000000061991,1.654616117477417,1.2172465579986402,0.9815340909090909,2.142353942083337,704,1.0,0.29084207824620834,0.35300048783286414,0.23869192068912296,47.839506172839506,61.419753086419746,25.617283950617285,10.493827160493826,58.95061728395061,59.876543209876544,60.18518518518518
c00177,watershed,177,2.638124999813445,1.6152681112289429,1.2138106801619566,0.9981024667931688,3.1983911422353106,1054,1.0,0.3487440352188215,0.4415835818857809,0.29293156634542283,42.592592592592595,60.802469135802475,42.901234567901234,52.160493827160494,89.81481481481481,88.58024691358025,88.58024691358025
c00178,watershed,178,2.561875000038126,1.6232631206512451,1.0865039421330367,1.0,2.800463910855393,1031,1.0,0.2787505337606127,0.3352808710144226,0.22679828019557932,43.82716049382716,32.098765432098766,36.7283950617284,83.48765432098766,51.54320987654321,51.85185185185185,51.23456790123457
c00179,watershed,179,3.9306249998984275,1.5929667949676514,1.1756906081424747,0.9886721208307111,4.670430940858473,1589,1.0,0.3157680122453881,0.38588206175918016,0.2595100435290229,39.50617283950617,52.46913580246913,62.34567901234568,20.37037037037037,76.23456790123457,72.22222222222221,72.8395061728395
c00180,watershed,180,2.09937499980384,1.670448899269104,1.1740237442453108,0.9808383233532935,2.4507745661186413,835,1.0,0.33313411081828476,0.41694072423171674,0.27850751672909246,49.382716049382715,51.85185185185185,31.17283950617284,8.950617283950617,82.09876543209876,82.71604938271605,83.33333333333334
c00181,watershed,181,4.5437500000669395,1.602449655532837,1.1241705086695295,1.0,5.140269650905172,1829,1.0,0.259271913757192,0.3100924369478083,0.2107779647089566,40.4320987654321,39.81481481481482,66.9753086419753,83.48765432098766,35.18518518518518,34.25925925925926,33.641975308641975
c00182,watershed,182,3.4018750001810254,1.633809208869934,1.2296697911563124,0.9963208241353937,4.177803115464746,1359,1.0,0.3403559324366371,0.4536255897524107,0.29739671830927283,45.370370370370374,63.580246913580254,55.55555555555556,44.75308641975309,86.11111111111111,92.90123456790124,91.66666666666666
c00183,watershed,183,4.351250000142027,1.6391911506652832,1.10051735166052,1.0,4.845027640698398,1761,1.0,0.23949025585991318,0.29301472567257375,0.19872546325953222,46.2962962962963,35.49382716049383,64.19753086419753,83.48765432098766,23.456790123456788,25.617283950617285,25.0
